CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
7,HP50NE 1,"Unst, Watlee","Chambered Cairn (Neolithic), Enclosure (Period Unassigned)",459721,1205073,SHETLAND ISLANDS,SHETLAND,UNST,HP 59721 05073
36,HP50SE 17,"Unst, Gallow Hill",Chambered Cairn (Neolithic),457180,1200200,SHETLAND ISLANDS,SHETLAND,UNST,HP 5718 0020
101,HP60NW 2,"Unst, Hill Of Caldback",Chambered Cairn (Neolithic),460810,1206680,SHETLAND ISLANDS,SHETLAND,UNST,HP 6081 0668
140,HP60SW 8,"Unst, Sobul","Cairn (Period Unassigned), Chambered Cairn (Neolithic)",460272,1203636,SHETLAND ISLANDS,SHETLAND,UNST,HP 60272 03636
145,HP61NW 1,"Unst, Ward Of Norwick, East",Chambered Cairn (Neolithic)(Possible),464920,1215300,SHETLAND ISLANDS,SHETLAND,UNST,HP 6492 1530
146,HP61NW 2,"Unst, Ward Of Norwick, West",Chambered Cairn (Neolithic)(Possible),464850,1215430,SHETLAND ISLANDS,SHETLAND,UNST,HP 6485 1543
160,HP61SW 12,"Unst, Muckle Heog East",Chambered Cairn (Neolithic),463150,1210810,SHETLAND ISLANDS,SHETLAND,UNST,HP 6315 1081
216012,HP60NE 11,Balta,"Chambered Cairn(S) (Neolithic)(Possible), Dyke (Period Unassigned)(Possible), Stone Setting(S) (Neol/bronze Age)",465940,1207240,SHETLAND ISLANDS,SHETLAND,UNST,HP 6594 0724
243317,HP60NE 13,"Huney, The Givv",Chambered Cairn (Neolithic)(Possible),465000,1206600,SHETLAND ISLANDS,SHETLAND,UNST,HP 650 066
300613,HP60SW 72,"Unst, Sandwick Links",Building (Neolithic),461658,1202169,SHETLAND ISLANDS,SHETLAND,UNST,HP 61658 02169
313347,HP60SW 154,"Unst, Ham Ness",Building (Neolithic),463554,1201907,SHETLAND ISLANDS,SHETLAND,UNST,HP 63554 01907
313961,HP60SW 234,"Unst, Otterhad Geo",Chambered Cairn (Neolithic),462261,1203843,SHETLAND ISLANDS,SHETLAND,UNST,HP 62261 03843
108176,HP50SE 47,"Unst, Uyeasound","Findspot (20th Century), Bowl (Stone)(Bronze Age)",458800,1200700,SHETLAND ISLANDS,SHETLAND,UNST,HP 588 007
150,HP61SE 1,"Unst, Norwick, St John's Church And Churchyard","Broch (Iron Age)(Possible), Burial Ground (Period Unassigned), Church (Period Unassigned), War Memorial (20th Century)",465170,1214100,SHETLAND ISLANDS,SHETLAND,UNST,HP 6517 1410
274117,HP60SW 66,"Unst, Easting, Sandwick","Building (Iron Age), Hearth (Period Unassigned), Inhumation (Period Unassigned), Mound (Period Unassigned), Bead (Steatite), Unidentified Pottery",461800,1202500,SHETLAND ISLANDS,SHETLAND,UNST,HP 6180 0250
31,HP50SE 12,"Unst, Underhoull",Broch (Iron Age),457460,1204450,SHETLAND ISLANDS,SHETLAND,UNST,HP 5746 0445
84,HP51SE 1,"Unst, Flubersgerdie","Broch (Iron Age)(Possible), House Platform(S) (Period Unassigned), Planticrub (Period Unassigned), Promontory Fort (Period Unassigned)",457119,1212493,SHETLAND ISLANDS,SHETLAND,UNST,HP 57119 12493
105,HP60NW 6,"Unst, Clugan","Grave (Viking), Settlement (Period Unassigned), Implement (Stone)(Iron Age), Slag (Iron Age), Unidentified Pottery (Iron Age)",464400,1206460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6440 0646
115,HP60SW 15,"Unst, Hoversta","Clearance Cairn(S) (Period Unassigned), Farmstead (Period Unassigned), Farmstead (Norse)(Possible), Quarry (Period Unassigned), Unidentified Pottery (Iron Age)",460057,1201757,SHETLAND ISLANDS,SHETLAND,UNST,HP 60057 01757
142,HP61NE 1,"Unst, Skaw","Structure (Period Unassigned), Unidentified Pottery (Iron Age)",466000,1216550,SHETLAND ISLANDS,SHETLAND,UNST,HP 6600 1655
155,HP61SE 6,"Unst, Cross Geos, Clibberswick","Building (Norse), Midden (Iron Age), Steatite Quarry (Norse)",465140,1212150,SHETLAND ISLANDS,SHETLAND,UNST,HP 6514 1215
169,HP61SW 20,"Unst, Soterberg, Harold's Wick","Field System (Period Unassigned), House (Norse), Mound (Period Unassigned), Settlement (Period Unassigned), Unidentified Pottery (Iron Age)",464110,1211460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6411 1146
108170,HP50NE 14,"Unst, Scarpa","Midden (Iron Age), Roundhouse (Iron Age)",458100,1207400,SHETLAND ISLANDS,SHETLAND,UNST,HP 58100 07400
305793,HP60NW 99,"Unst, Upswall",Broch (Iron Age)(Possible),464020,1207670,SHETLAND ISLANDS,SHETLAND,UNST,HP 6402 0767
10,HP50NE 2,"Unst, Westing, Kirkaby Church","Broch (Iron Age)(Possible), Burial Ground (Period Unassigned)(Possible), Church (Period Unassigned), Enclosure (Period Unassigned), Site (Period Unassigned)",456650,1206400,SHETLAND ISLANDS,SHETLAND,UNST,HP 5665 0640
11,HP50NE 3,"Unst, Brough Holm",Broch (Iron Age),456560,1205840,SHETLAND ISLANDS,SHETLAND,UNST,HP 5656 0584
45,HP50SE 25,"Unst, Uyeasound",Broch (Iron Age),459300,1201040,SHETLAND ISLANDS,SHETLAND,UNST,HP 5930 0104
50,HP50SE 3,"Unst, Hoga Ness",Broch (Iron Age),455780,1200520,SHETLAND ISLANDS,SHETLAND,UNST,HP 5578 0052
66,HP50SE 8,"Unst, Loch Of Snabrough",Broch (Iron Age),456820,1202700,SHETLAND ISLANDS,SHETLAND,UNST,HP 5682 0270
85,HP51SE 2,"Unst, Baliasta","Broch (Iron Age)(Possible), Sheepfold (Period Unassigned)",459597,1210300,SHETLAND ISLANDS,SHETLAND,UNST,HP 59597 10300
104,HP60NW 5,"Unst, Baliasta, Brough",Broch (Iron Age)(Possible),460320,1209800,SHETLAND ISLANDS,SHETLAND,UNST,HP 6032 0980
114,HP60SW 14,"Unst, Sandwick",Broch (Iron Age),461000,1202000,SHETLAND ISLANDS,SHETLAND,UNST,HP 61 02
116,HP60SW 16,"Unst, Brough Taing",Broch (Iron Age),463250,1204850,SHETLAND ISLANDS,SHETLAND,UNST,HP 6325 0485
121,HP60SW 20,"Unst, Blue Geos","Building(S) (Prehistoric), Midden (Period Unassigned), Unidentified Pottery (Iron Age)",462810,1204925,SHETLAND ISLANDS,SHETLAND,UNST,HP 62810 04925
124,HP60SW 23,"Unst, Wick Of Smirgirt","Structure (Period Unassigned), Unidentified Pottery (Iron Age)",461970,1203050,SHETLAND ISLANDS,SHETLAND,UNST,HP 6197 0305
158,HP61SW 10,"Unst, Burra Firth, Burgar Stack",Broch (Iron Age),461090,1214360,SHETLAND ISLANDS,SHETLAND,UNST,HP 6109 1436
170,HP61SW 21,"Unst, Hagdale","House (Norse), Settlement (Period Unassigned), Unidentified Pottery (Iron Age)",464200,1210300,SHETLAND ISLANDS,SHETLAND,UNST,HP 642 103
137589,HP60SW 34,"Unst, Sandwick","Unidentified Pottery (Iron Age), Worked Object",461800,1202200,SHETLAND ISLANDS,SHETLAND,UNST,HP 618 022
139974,HP60NW 26,"Unst, Baltasound",Unidentified Pottery (Iron Age),461900,1208700,SHETLAND ISLANDS,SHETLAND,UNST,HP 619 087
302820,HP50SE 122,"Unst, Ness Of Wadbister",Broch (Iron Age)(Possible),456200,1201800,SHETLAND ISLANDS,SHETLAND,UNST,HP 5620 0180
